,ID,DATE,ROUTE_SURVEYED,BOARDING_LOCATION,BOARDING_LAT,BOARDING_LON,TRANSFERS_FROM_FIRST,ORIGIN_LAT_100M,ORIGIN_LON_100M,TIME_ON,route_type,Vertical_direction,Horizontal_direction
15395,15396,2016-09-28 00:00:00,GREEN METRO Green Line [EB],Hamline Ave Station,44.955671,-93.156624,83 HarMar Target - Lexington Av [ Minneapolis Metro Transit ],44.98,-93.156,6:00 - 6:30 pm,83,-0.024328999999994494,-0.0006239999999877455
15398,15399,2016-09-28 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Minnesota St & 6th St,44.947589,-93.092726,63 Grand Av - Raymond Sta - Sunray - McKnight Rd [ Minneapolis Metro Transit ],44.96,-93.035,6:30 - 7:00 pm,63,-0.012411000000000172,-0.057726000000002387
15400,15401,2016-09-28 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [EB],5th St Transit Center & Platform A,44.981014,-93.275356,19 Olson Memorial Hwy - Penn Av N - Brooklyn Center [ Minneapolis Metro Transit ],45.016,-93.306,6:30 - 7:00 pm,19,-0.03498599999999641,0.03064399999999523
15404,15405,2016-09-28 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Minnesota St & 4th St,44.945928,-93.091109,74 46St - Randolph - W 7St - E 7St - Sunray [ Minneapolis Metro Transit ],44.996,-92.976,6:30 - 7:00 pm,74,-0.050072000000000116,-0.1151090000000039
15409,15410,2016-09-28 00:00:00,BLUE METRO Blue Line [NB],American Blvd 34th Ave Station,44.859151,-93.223072,54 Ltd Stop - W 7St - Airport - MOA [ Minneapolis Metro Transit ],44.958,-93.085,6:30 - 7:00 pm,54,-0.0988490000000013,-0.1380720000000082
15417,15418,2016-09-28 00:00:00,GREEN METRO Green Line [WB],Union Depot Station,44.948165,-93.086889,64 Payne - Maryland - White Bear Av - Maplewood [ Minneapolis Metro Transit ],44.97,-93.024,6:30 - 7:00 pm,64,-0.02183499999999583,-0.06288899999999842
15421,15422,2016-09-28 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Minnesota St & 6th St,44.947589,-93.092726,75 Stryker - Robert - Parkview Plaza - Lake Cove Apts [ Minneapolis Metro Transit ],44.898,-93.083,7:00 - 8:00 pm,75,0.04958899999999744,-0.009726000000000568
15422,15423,2016-09-28 00:00:00,GREEN METRO Green Line [WB],Union Depot Station,44.948165,-93.086889,74 46St - Randolph - W 7St - E 7St - Sunray [ Minneapolis Metro Transit ],44.963,-93.045,6:30 - 7:00 pm,74,-0.014834999999997933,-0.04188899999999762
15433,15434,2016-09-28 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [EB],4th St S & Nicollet Mall,44.979803,-93.269984,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.976,-93.276,7:00 - 8:00 pm,6,0.0038029999999977804,0.006016000000002464
15438,15439,2016-09-28 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Como Ave & Snelling Ave,44.977416,-93.166684,ALINE A-Line Rapid Transit,44.92,-93.187,7:00 - 8:00 pm,ALINE,0.05741599999999636,0.020315999999994006
15451,15452,2016-09-28 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.953,-93.287,8:00 - 9:00 pm,6,0.027003000000000554,0.013856000000004087
15454,15455,2016-09-28 00:00:00,GREEN METRO Green Line [WB],Robert St Station,44.954168,-93.097548,68 Jackson St - Robert St - 5th Av - Inver Hills [ Minneapolis Metro Transit ],44.893,-93.08,8:00 - 9:00 pm,68,0.06116800000000211,-0.017548000000005004
15456,15457,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,17 Minnetonka Blvd - Uptown - Washington St NE [ Minneapolis Metro Transit ],44.998,-93.262,6:00 - 7:00 am,17,-0.017996999999994046,-0.011144000000001597
15457,15458,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,781 Maple Grove - Express - Maple Grove Station [ Minneapolis Metro Transit ],45.11,-93.452,6:00 - 7:00 am,781,-0.12999699999999592,0.17885599999999613
15458,15459,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,141 Ltd Stop - New Brighton - Johnson St - Mpls [ Minneapolis Metro Transit ],45.035,-93.218,6:00 - 7:00 am,141,-0.05499699999999308,-0.05514399999999853
15460,15461,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Target Field Station Platform 1,44.983036,-93.27745,5 Brklyn Center - Fremont - 26th Av - Chicago - MOA [ Minneapolis Metro Transit ],45.001,-93.292,6:00 - 7:00 am,5,-0.017963999999999203,0.01454999999999984
15462,15463,2016-09-29 00:00:00,BLUE METRO Blue Line [SB],Warehouse Hennepin Ave Station,44.980003,-93.273144,10 Central Av - University Av - Northtown [ Minneapolis Metro Transit ],45.02,-93.246,7:00 - 8:00 am,10,-0.039996999999999616,-0.02714400000000694
15463,15464,2016-09-29 00:00:00,121 U of M - Campus Connector [EB],Oak St SE & University Ave SE,44.975378,-93.226583,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.985,-93.251,7:00 - 8:00 am,6,-0.009622000000000241,0.02441699999999969
15466,15467,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Prospect Park Station,44.971591,-93.215328,2 Franklin Av - Riverside Av - U of M - 8th St SE [ Minneapolis Metro Transit ],44.966,-93.234,7:00 - 8:00 am,2,0.005590999999995461,0.018671999999995137
15469,15470,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.957,-93.295,7:00 - 8:00 am,6,0.02300300000000277,0.021855999999999653
15472,15473,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,19 Olson Memorial Hwy - Penn Av N - Brooklyn Center [ Minneapolis Metro Transit ],44.989,-93.299,7:00 - 8:00 am,19,-0.008996999999993704,0.025856000000004542
15475,15476,2016-09-29 00:00:00,BLUE METRO Blue Line [SB],VA Medical Center Station,44.902638,-93.202214,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],44.902,-93.231,7:00 - 8:00 am,22,0.0006380000000021369,0.028785999999996648
15484,15485,2016-09-29 00:00:00,124 U of M - St Paul Circulator [LP],Transitway & Commonwealth Ave,44.980623,-93.180819,121 U of M - Campus Connector [ Minneapolis Metro Transit ],44.973,-93.223,7:00 - 8:00 am,121,0.007623000000002378,0.04218099999999936
15488,15489,2016-09-29 00:00:00,121 U of M - Campus Connector [EB],Washington Ave & Blegen Hall,44.972302,-93.243772,695 SW Transit - Express - Chaska - Chanhassen - Mpls [ Minneapolis Metro Transit ],44.853,-93.449,7:00 - 8:00 am,695,0.11930199999999758,0.20522799999999108
15493,15494,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Dale St Station,44.955682,-93.125945,65 Dale St - Co Rd B - Rosedale [ Minneapolis Metro Transit ],44.939,-93.125,8:00 - 9:00 am,65,0.016682000000002972,-0.000945000000001528
15494,15495,2016-09-29 00:00:00,122 U of M - University Ave Circulator [LP],19th  Ave S & Washington Ave S,44.973311,-93.245783,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],45.021,-93.281,8:00 - 9:00 am,22,-0.047688999999998316,0.03521700000000294
15495,15496,2016-09-29 00:00:00,121 U of M - Campus Connector [EB],Oak St SE & University Ave SE,44.975378,-93.226583,122 U of M - University Ave Circulator [ Minneapolis Metro Transit ],44.98,-93.239,8:00 - 9:00 am,122,-0.0046219999999976835,0.012416999999999234
15499,15500,2016-09-29 00:00:00,121 U of M - Campus Connector [EB],Washington Ave & Coffman Union,44.973555,-93.235189,698 SW Transit - Express - Chaska - Chanhassen - Mpls [ Minneapolis Metro Transit ],44.827,-93.418,8:00 - 9:00 am,698,0.14655499999999932,0.18281100000000094
15500,15501,2016-09-29 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Minnesota St & 6th St,44.947589,-93.092726,68 Jackson St - Robert St - 5th Av - Inver Hills [ Minneapolis Metro Transit ],44.901,-93.052,8:00 - 9:00 am,68,0.04658899999999733,-0.04072599999999227
